Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Avg MPG,Price_Category
Bmw,1 Series M,2011,Premium Unleaded (Required),335.0,6.0,Manual,Rear Wheel Drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135,22.5,Mid-Range
Bmw,1 Series,2011,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650,23.5,Mid-Range
Bmw,1 Series,2011,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350,24.0,Mid-Range
Bmw,1 Series,2011,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450,23.0,Budget
Bmw,1 Series,2011,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500,23.0,Mid-Range
Bmw,1 Series,2012,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200,23.0,Mid-Range
Bmw,1 Series,2012,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100,21.5,Mid-Range
Bmw,1 Series,2012,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300,24.0,Mid-Range
Bmw,1 Series,2012,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900,23.0,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200,22.5,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600,24.0,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,23.5,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),300.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,23.5,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),230.0,6.0,Manual,Rear Wheel Drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,23.5,Mid-Range
Bmw,1 Series,2013,Premium Unleaded (Required),320.0,6.0,Manual,Rear Wheel Drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,21.5,Mid-Range
